scenario,metric,comparison,test,n_pairs_observed,n_instances,power,observed_median_difference,observed_iqr
blocked_road,success,Modified vs APF,mcnemar,20,10,0.998,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,20,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,30,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,50,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,75,1.0,1.0,0.0
blocked_road,success,Modified vs APF,mcnemar,20,100,1.0,1.0,0.0
normal_city,success,Modified vs APF,mcnemar,20,10,0.056,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,20,0.598,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,30,0.938,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,50,1.0,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,75,1.0,0.0,1.0
normal_city,success,Modified vs APF,mcnemar,20,100,1.0,0.0,1.0
normal_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,10,1.0,-18.226,7.9434
normal_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,20,1.0,-18.226,7.9434
normal_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,30,1.0,-18.226,7.9434
normal_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,50,1.0,-18.226,7.9434
normal_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,75,1.0,-18.226,7.9434
normal_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,100,1.0,-18.226,7.9434
dense_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,10,0.062,-0.6031,8.403
dense_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,20,0.116,-0.6031,8.403
dense_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,30,0.132,-0.6031,8.403
dense_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,50,0.22,-0.6031,8.403
dense_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,75,0.294,-0.6031,8.403
dense_city,mission_time_curved,Modified vs Hybrid,wilcoxon,20,100,0.364,-0.6031,8.403
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,10,0.178,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,20,0.362,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,30,0.52,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,50,0.712,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,75,0.874,-0.2046,0.7616
normal_city,max_curvature,Modified vs Hybrid,wilcoxon,20,100,0.954,-0.2046,0.7616
normal_city,mission_time_curved,Modified vs RRT*,wilcoxon,20,10,1.0,17.0595,5.9713
normal_city,mission_time_curved,Modified vs RRT*,wilcoxon,20,20,1.0,17.0595,5.9713
normal_city,mission_time_curved,Modified vs RRT*,wilcoxon,20,30,1.0,17.0595,5.9713
normal_city,mission_time_curved,Modified vs RRT*,wilcoxon,20,50,1.0,17.0595,5.9713
normal_city,mission_time_curved,Modified vs RRT*,wilcoxon,20,75,1.0,17.0595,5.9713
normal_city,mission_time_curved,Modified vs RRT*,wilcoxon,20,100,1.0,17.0595,5.9713
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,10,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,20,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,30,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,50,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,75,1.0,1.7145,0.8279
normal_city,max_curvature,Modified vs RRT*,wilcoxon,20,100,1.0,1.7145,0.8279
